edicion,equipo,entrenador
1,Ajax,fifa
2,Paris Saint Germain,Low
3,Paris Saint Germain,Low
4,Juventus,fifa
5,Chelsea,Low
6,AEK Athens,Low
7,AEK Athens,Low
8,AEK Athens,Low
9,Manchester United,Patrick
10,Paris Saint Germain,Low
11,Borussia Dortmund,fifa
12,Real Madrid,Low
13,Manchester City,Patrick
14,Paris Saint Germain,fifa
15,Juventus,Low
16,Juventus,Low
17,Atlético Madrid,Patrick
18,FC Bayern München,Low
19,Paris Saint Germain,Low
20,FC Porto,Patrick
21,FC Porto,Patrick
22,FC Porto,Patrick
23,FC Bayern München,fifa
24,Atlético Madrid,fifa
25,FC Bayern München,fifa
26,FC Bayern München,fifa
27,FC Porto,Patrick
28,Chelsea,Low
29,FC Porto,Patrick
30,FC Porto,Patrick
31,Liverpool,Patrick
32,Liverpool,Patrick
33,PSG,Low
34,Inter,Low
