team_name,league
Real Madrid CF,España
Atlético de Madrid,España
FC Barcelona,España
FC Porto,Portugal
SL Benfica,Portugal
Sporting CP,Portugal
Chelsea,Inglaterra
Manchester City,Inglaterra
Manchester United,Inglaterra
Liverpool,Inglaterra
Arsenal,Inglaterra
Inter,Italia
Juventus,Italia
Napoli,Italia
AC Milan,Italia
Borussia Dortmund,Alemania
FC Bayern München,Alemania
Bayer 04 Leverkusen,Alemania
Olympique Lyonnais,Francia
Olympique de Marseille,Francia
Paris Saint-Germain,Francia
FC Red Bull Salzburg,Others
Club Brugge,Others
Shakhtar Donetsk,Others
Ajax,Others
F.C. Dinamo de Kiev,Others
Victoria,Others
CFR Cluj,Others
Basilea,Others
Fenerbahçe SK,Others
Celtic,Others
Hajduk Split,Others
SK Slavia Praha,Others
AEK Athen,Others
